City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,bredasdorp,-34.5322,20.0403,290.12,56,83,1.89,ZA,1678563292
288,bilibino,68.0546,166.4372,240.08,99,6,1.79,RU,1678562826
289,bathsheba,13.2167,-59.5167,301.49,65,75,8.23,BB,1678563292
290,thai binh,20.45,106.3333,295.0,83,100,0.89,VN,1678563293
291,sinnamary,5.3833,-52.95,299.62,70,84,4.78,GF,1678563293
292,coihaique,-45.5752,-72.0662,290.49,94,100,2.06,CL,1678563293
293,iquique,-20.2208,-70.1431,299.17,74,18,4.15,CL,1678563031
294,angoche,-16.2325,39.9086,298.22,91,100,6.32,MZ,1678563294
295,colchester,51.8892,0.9042,278.01,76,100,5.18,GB,1678563265
296,junction city,39.0286,-96.8314,279.6,96,100,3.6,US,1678563077
297,bulawayo,-20.15,28.5833,292.84,64,7,4.49,ZW,1678563295
298,tiznit,29.5833,-9.5,296.75,28,3,0.94,MA,1678563295
299,port hawkesbury,45.6169,-61.3485,277.83,75,100,7.15,CA,1678563296
300,moranbah,-22.0016,148.0466,296.34,85,0,3.35,AU,1678563296
301,manaure,11.7751,-72.4445,300.51,62,100,6.37,CO,1678563297
302,khingansk,49.1167,131.1833,257.38,92,5,1.32,RU,1678563297
303,kalmunai,7.4167,81.8167,297.94,88,20,2.67,LK,1678562819
304,san julian,21.0167,-102.1667,300.5,14,2,3.78,MX,1678563298
305,amapa,1.0,-52.0,298.81,96,22,1.94,BR,1678563298
306,mitsamiouli,-11.3847,43.2844,301.36,71,100,3.78,KM,1678563299
307,san andres,12.5847,-81.7006,303.16,58,40,5.14,CO,1678563300
308,laguna de duero,41.5815,-4.7233,288.1,76,40,5.14,ES,1678563300
309,tual,-5.6667,132.75,301.03,75,100,2.65,ID,1678563233
310,collie,-33.3667,116.15,288.81,49,100,1.86,AU,1678563301
311,kavieng,-2.5744,150.7967,300.41,74,99,1.61,PG,1678562838
312,vao,-22.6667,167.4833,298.19,64,34,7.09,NC,1678562711
313,krasnoselkup,65.7,82.4667,271.33,97,100,10.06,RU,1678562815
314,boyolangu,-8.1181,111.8935,297.97,79,100,1.3,ID,1678563302
315,sorong,-0.8833,131.25,299.23,83,19,1.58,ID,1678563302
316,rawson,-43.3002,-65.1023,305.58,27,85,8.21,AR,1678563031
317,horsham,51.064,-0.3272,279.62,90,75,2.57,GB,1678563303
318,port macquarie,-31.4333,152.9167,294.76,95,100,1.98,AU,1678562721
319,sai buri,6.7013,101.6168,296.73,85,69,3.57,TH,1678563304
320,moche,-8.1711,-79.0092,301.25,83,20,3.6,PE,1678563205
321,nelson bay,-32.7167,152.15,295.93,93,100,2.24,AU,1678562753
322,tabou,4.423,-7.3528,300.15,85,13,4.27,CI,1678562847
323,taber,49.8167,-112.1518,263.62,85,100,4.12,CA,1678563305
324,barra,-11.0894,-43.1417,306.22,35,26,3.19,BR,1678563306
325,madaripur,23.1753,90.2072,298.05,28,5,2.58,BD,1678563306
326,safford,32.834,-109.7076,295.66,38,0,9.26,US,1678563307
327,manokwari,-0.8667,134.0833,298.32,83,100,1.67,ID,1678563307
328,voyvozh,62.892,54.9635,261.65,98,92,2.52,RU,1678563308
329,nova olimpia,-14.7972,-57.2881,296.43,94,100,2.33,BR,1678563308
330,solnechnyy,50.7214,136.6319,263.78,94,100,1.65,RU,1678563309
331,chermoz,58.787,56.1489,259.37,98,50,2.45,RU,1678563309
332,nome,64.5011,-165.4064,264.19,79,100,0.0,US,1678562738
333,gat,31.61,34.7642,291.7,37,90,1.99,IL,1678563184
334,veinticinco de mayo,-35.4323,-60.1727,312.58,24,0,3.13,AR,1678563310
335,prior lake,44.7133,-93.4227,273.77,87,100,7.72,US,1678563311
336,sao raimundo das mangabeiras,-7.0219,-45.4811,302.2,62,100,2.55,BR,1678563311
337,bhagwantnagar,26.2333,80.75,294.08,33,66,1.22,IN,1678563312
338,cockburn town,21.4612,-71.1419,296.86,60,9,2.84,TC,1678562758
339,beloha,-25.1667,45.05,296.28,77,0,6.33,MG,1678563312
340,nhulunbuy,-12.2333,136.7667,298.49,94,100,1.03,AU,1678562827
341,fort-shevchenko,44.5086,50.263,282.15,80,18,5.04,KZ,1678562888
342,sabang,5.8933,95.3214,300.09,78,99,1.91,ID,1678563313
343,egvekinot,66.3167,-179.1667,247.64,89,21,5.19,RU,1678563314
344,caucaia,-3.7361,-38.6531,303.12,75,20,5.14,BR,1678563135
345,hami,42.8,93.45,279.38,23,2,3.92,CN,1678563315
346,general roca,-39.0333,-67.5833,308.5,9,0,4.76,AR,1678563315
347,umm lajj,25.0213,37.2685,296.32,52,0,2.09,SA,1678563316
348,nouadhibou,20.931,-17.0347,293.14,77,0,8.75,MR,1678562858
349,malakal,9.5334,31.6605,304.45,15,13,2.8,SS,1678562907
350,san nicolas,18.1725,120.5953,294.27,73,3,2.43,PH,1678563317
351,hillsborough,37.5741,-122.3794,289.71,90,100,6.17,US,1678563317
352,hirtshals,57.5881,9.9592,274.09,57,25,13.07,DK,1678563041
353,camana,-16.6228,-72.7111,298.62,72,96,4.31,PE,1678563318
354,san cristobal,7.7669,-72.225,293.25,81,100,0.32,VE,1678563318
355,vila,42.0304,-8.1588,282.64,3,100,2.12,PT,1678563319
356,linhares,-19.3911,-40.0722,301.02,59,86,3.63,BR,1678563319
357,namibe,-15.1961,12.1522,295.72,84,99,3.58,AO,1678562894
358,latung,5.5,120.8833,299.99,78,96,8.05,PH,1678563320
359,makakilo city,21.3469,-158.0858,297.14,69,0,1.54,US,1678562915
360,bone,51.9669,12.1396,273.99,78,31,3.39,DE,1678563321
361,nipawin,53.3668,-104.0009,267.17,73,0,8.23,CA,1678563321
362,capinopolis,-18.6819,-49.5697,296.1,85,100,1.8,BR,1678563322
363,fukue,32.6881,128.8419,289.38,86,96,4.61,JP,1678563322
364,sonda,59.3436,26.8364,267.93,98,100,0.85,EE,1678563323
